Series Name,Series Code,countryName,Country Code,YR1990,YR2000,YR2005,YR2006,YR2007,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],year2013,YR2014
"Population, total",SP.POP.TOTL,Cyprus,CYP,766611,943287,1032586,1048314,1063095,1077089,1090553,1103685,1116513,1128994,1141166,
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10333355,10255063,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,
"Population, total",SP.POP.TOTL,Denmark,DNK,5140939,5339616,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,
"Population, total",SP.POP.TOTL,Djibouti,DJI,589924,722887,776585,787544,798690,810100,821865,834036,846646,859652,872932,
"Population, total",SP.POP.TOTL,Dominica,DMA,70928,69679,70542,70690,70795,70883,70996,71167,71401,71684,72003,
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,7245127,8663421,9343362,9479269,9615015,9750195,9884265,10016797,10147598,10276621,10403761,
"Population, total",SP.POP.TOTL,Ecuador,ECU,10123593,12533087,13777131,14023503,14268397,14512402,14756424,15001072,15246481,15492264,15737878,
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,56336614,66136590,71777678,72990754,74229577,75491922,76775023,78075705,79392466,80721874,82056378,
"Population, total",SP.POP.TOTL,El Salvador,SLV,5344226,5958794,6072538,6096692,6122952,6151776,6183484,6218195,6256242,6297394,6340454,
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,373851,518179,603648,621517,639618,658025,676851,696167,715996,736296,757014,
"Population, total",SP.POP.TOTL,Eritrea,ERI,3272563,3939348,4854066,5035036,5209846,5382163,5557889,5741159,5932852,6130922,6333135,
"Population, total",SP.POP.TOTL,Estonia,EST,1569174,1396985,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,
"Population, total",SP.POP.TOTL,Ethiopia,ETH,48042755,66024199,76167240,78290649,80440708,82621190,84838032,87095281,89393063,91728849,94100756,
"Population, total",SP.POP.TOTL,Faeroe Islands,FRO,48031,46491,49157,49414,49554,49601,49600,49581,49551,49506,49469,
"Population, total",SP.POP.TOTL,Fiji,FJI,728339,811647,822484,828060,835392,843851,852479,860559,867921,874742,881065,
"Population, total",SP.POP.TOTL,Finland,FIN,4986431,5176209,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,
"Population, total",SP.POP.TOTL,France,FRA,58409202,60911057,63176246,63617975,64012572,64371099,64702921,65023142,65343588,65649570,65939866,
"Population, total",SP.POP.TOTL,French Polynesia,PYF,198370,237267,254884,257731,260361,262877,265412,268065,270874,273814,276831,
"Population, total",SP.POP.TOTL,Gabon,GAB,946703,1225527,1379465,1412907,1447388,1482843,1519155,1556222,1594034,1632572,1671711,
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,916811,1228863,1436549,1482324,1529406,1577984,1628332,1680640,1734966,1791225,1849285,
"Population, total",SP.POP.TOTL,Georgia,GEO,4802000,4418300,4361400,4398000,4388400,4383800,4410900,4452800,4483350,4490700,4487200,
"Population, total",SP.POP.TOTL,Germany,DEU,79433029,82211508,82469422,82376451,82266372,82110097,81902307,81776930,81797673,80425823,80651873,
"Population, total",SP.POP.TOTL,Ghana,GHA,14628693,18825034,21384034,21947779,22525659,23110139,23691533,24262901,24820706,25366462,25904598,
"Population, total",SP.POP.TOTL,Greece,GRC,10156902,10917482,11092913,11127947,11163002,11186439,11187085,11153454,11123213,11092771,11027549,
"Population, total",SP.POP.TOTL,Greenland,GRL,55600,56200,56935,56774,56555,56328,56323,56905,56890,56810,56483,
"Population, total",SP.POP.TOTL,Grenada,GRD,96286,101620,102951,103260,103586,103932,104296,104677,105074,105483,105897,
"Population, total",SP.POP.TOTL,Guam,GUM,130482,155328,158401,158429,158331,158310,158621,159440,160858,162810,165124,
"Population, total",SP.POP.TOTL,Guatemala,GTM,8890329,11204183,12678919,12995374,13317931,13648307,13988988,14341576,14706578,15082831,15468203,
"Population, total",SP.POP.TOTL,Guinea,GIN,6020113,8746128,9576331,9798963,10046967,10314678,10593248,10876033,11161530,11451273,11745189,
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1017385,1273312,1421515,1452659,1484337,1516920,1550905,1586624,1624228,1663558,1704255,
"Population, total",SP.POP.TOTL,Guyana,GUY,725043,744471,760834,765367,770407,775739,781055,786126,790882,795369,799613,
"Population, total",SP.POP.TOTL,Haiti,HTI,7110116,8578234,9260879,9388642,9513714,9638255,9765153,9896400,10032864,10173775,10317461,
"Population, total",SP.POP.TOTL,Honduras,HND,4903694,6235561,6898825,7037428,7178436,7322368,7469844,7621204,7776669,7935846,8097688,
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,5704500,6665000,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7154600,7187500,
"Population, total",SP.POP.TOTL,Hungary,HUN,10373988,10210971,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893899,
"Population, total",SP.POP.TOTL,Iceland,ISL,254826,281205,296734,303782,311566,317414,318499,318041,319014,320716,323764,
"Population, total",SP.POP.TOTL,India,IND,868890700,1042261758,1127143548,1143289350,1159095250,1174662334,1190138069,1205624648,1221156319,1236686732,1252139596,
"Population, total",SP.POP.TOTL,Indonesia,IDN,178633239,208938698,224480901,227709821,230972808,234243489,237486894,240676485,243801639,246864191,249865631,
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,56361868,65911052,70152384,70976584,71809219,72660887,73542954,74462314,75424285,76424443,77447168,
"Population, total",SP.POP.TOTL,Iraq,IRQ,17517521,23801156,27377045,28064095,28740630,29429829,30163199,30962380,31760020,32578209,33417476,
"Population, total",SP.POP.TOTL,Ireland,IRL,3513974,3805174,4159914,4273591,4398942,4489544,4535375,4560155,4576794,4586897,4597558,
"Population, total",SP.POP.TOTL,Isle of Man,IMY,70312,76806,80345,81068,81812,82561,83293,83992,84654,85284,85888,
"Population, total",SP.POP.TOTL,Israel,ISR,4660000,6289000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,
"Population, total",SP.POP.TOTL,Italy,ITA,56719240,56942108,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,
"Population, total",SP.POP.TOTL,Jamaica,JAM,2390000,2589389,2643601,2653042,2662481,2671934,2681386,2690824,2699838,2707805,2714734,
"Population, total",SP.POP.TOTL,Japan,JPN,123537000,126843000,127773000,127854000,128001000,128063000,128047000,128070000,127817277,127561489,127338621,
"Population, total",SP.POP.TOTL,Jordan,JOR,3170000,4797000,5411000,5536000,5661000,5786000,5915000,6046000,6181000,6318000,6460000,
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,16348000,14883626,15147029,15308084,15484192,15674000,16092701,16321581,16556600,16791425,17035275,
"Population, total",SP.POP.TOTL,Kenya,KEN,23446439,31285050,35785718,36757498,37752304,38773277,39824734,40909194,42027891,43178141,44353691,
"Population, total",SP.POP.TOTL,Kiribati,KIR,71040,82788,90468,91953,93401,94832,96272,97743,99250,100786,102351,
"Population, total",SP.POP.TOTL,"Korea, Dem. Rep.",PRK,20194361,22840225,23813333,23969917,24111989,24243894,24371865,24500520,24631291,24763188,24895480,
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,42869283,47008111,48138077,48371946,48597652,48948698,49182038,49410366,49779440,50004441,50219669,
"Population, total",SP.POP.TOTL,Kosovo,KSV,1862000,1700000,1705780,1719536,1733404,1747383,1761474,1775680,1790957,1807106,1824000,
"Population, total",SP.POP.TOTL,Kuwait,KWT,2059774,1906231,2296314,2417445,2554920,2702221,2850102,2991580,3124705,3250496,3368572,
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,4391200,4898400,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600,
"Population, total",SP.POP.TOTL,Lao PDR,LAO,4244520,5388281,5790646,5895930,6013278,6139127,6267968,6395713,6521314,6645827,6769727,
"Population, total",SP.POP.TOTL,Latvia,LVA,2663151,2367550,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2012647,
"Population, total",SP.POP.TOTL,Lebanon,LBN,2703019,3235380,3986865,4079823,4139813,4186088,4246924,4341092,4382790,4424888,4467390,
"Population, total",SP.POP.TOTL,Lesotho,LSO,1597534,1856225,1925844,1940413,1955784,1972199,1989873,2008921,2029516,2051545,2074465,
"Population, total",SP.POP.TOTL,Liberia,LBR,2102877,2891968,3269786,3384791,3522294,3672714,3821440,3957990,4079697,4190435,4294077,
"Population, total",SP.POP.TOTL,Libya,LBY,4259811,5176185,5594450,5686475,5782108,5876805,5964325,6040612,6103233,6154623,6201521,
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,28745,33093,34740,35028,35308,35582,35851,36120,36388,36656,36925,
"Population, total",SP.POP.TOTL,Lithuania,LTU,3697838,3499536,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2957689,
"Population, total",SP.POP.TOTL,Luxembourg,LUX,381850,436300,465158,472637,479993,488650,497783,506953,518347,530946,543360,
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,359735,431907,468149,479808,493206,507528,521617,534626,546278,556783,566375,
"Population, total",SP.POP.TOTL,"Macedonia, FYR",MKD,2009710,2052129,2090044,2093801,2096620,2098769,2100558,2102216,2103890,2105575,2107158,
