Series Name,Series Code,countryName,Country Code,YR1990,YR2000,YR2005,YR2006,YR2007,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],year2013,YR2014
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,11550,18876,26450,27642,28638,29481,30247,30993,31726,32427,33098,
"Population, total",SP.POP.TOTL,Tuvalu,TUV,9004,9419,9694,9732,9764,9788,9808,9827,9844,9860,9876,
"Population, total",SP.POP.TOTL,Uganda,UGA,17534839,24275641,28724869,29711397,30728747,31778799,32864328,33987213,35148064,36345860,37578876,
"Population, total",SP.POP.TOTL,Ukraine,UKR,51892000,49175848,47105150,46787750,46509350,46258200,46053300,45870700,45706100,45593300,45489600,
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,1806498,3026352,4148883,4875639,5797347,6798635,7718319,8441537,8925096,9205651,9346129,
"Population, total",SP.POP.TOTL,United Kingdom,GBR,57247586,58892514,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63700300,64106779,
"Population, total",SP.POP.TOTL,USA,USA,249623000,282162411,295516599,298379912,301231207,304093966,306771529,309326295,311582564,313873685,316128839,
"Population, total",SP.POP.TOTL,Uruguay,URY,3109941,3320841,3325155,3330217,3338384,3348898,3360431,3371982,3383486,3395253,3407062,
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,20510000,24650400,26167000,26488250,26868000,27302800,27767400,28562400,29339400,29774500,30243200,
"Population, total",SP.POP.TOTL,Vanuatu,VUT,146633,185058,209375,214654,220001,225398,230833,236299,241778,247262,252763,
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,19740786,24407553,26725897,27190882,27655937,28120312,28583040,29043283,29500625,29954782,30405207,
"Population, total",SP.POP.TOTL,Vietnam,VNM,66016700,77630900,82392100,83311200,84218500,85118700,86025000,86932500,87840000,88772900,89708900,
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,103963,108639,107863,107700,107423,107091,106707,106267,105784,105275,104737,
"Population, total",SP.POP.TOTL,West Bank and Gaza,WBG,1978248,2922153,3320396,3406334,3494496,3596688,3702218,3811102,3927051,4046901,4169506,
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,11790249,17522537,20139661,20661714,21182162,21703571,22229625,22763008,23304206,23852409,24407381,
"Population, total",SP.POP.TOTL,Zambia,ZMB,7844516,10100981,11470022,11781612,12109620,12456527,12825031,13216985,13633796,14075099,14538640,
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,10461782,12503652,12710589,12724308,12740160,12784041,12888918,13076978,13358738,13724317,14149648,
